isin,Symbol,market,Name,Sector,Industry,IndustryCode
US4062161017,HAL,NYSE,Halliburton Co,,오일 및 가스 장비 및 서비스,501030
JP3732000009,9434,TSE,SoftBank Corp,,통신 서비스,574010
US0192222075,AHPI,NASDAQ,Allied Healthcare Products Inc,,헬스케어 장비 및 용품,561010
US69404D1081,PACB,NASDAQ,Pacific Biosciences of California Inc,,헬스케어 장비 및 용품,561010
US9285634021,VMW,NYSE,VMware Inc Class A,,소프트웨어 및 IT서비스,572010
US25400Q2049,DWACU,NASDAQ,Digital World Acquisition Units,,기타 금융업,556010
US7181721090,PM,S&P500,Philip Morris International,Consumer Staples,Tobacco,
US7181721090,PM,NYSE,Philip Morris International Inc,,식품 및 담배,541020
US7181721090,PMN,NASDAQ,ProMIS Neurosciences Inc,,생명과학 및 메디컬 리서치,562020
US46284V1017,IRM,S&P500,Iron Mountain,Real Estate,Specialized REITs,
US46284V1017,IRM,NYSE,Iron Mountain Inc,,주택 및 상업용 리츠,601020
US3765461070,GAIN,NASDAQ,Gladstone Investment Corp,,다양한 금융서비스,555010
US56035L1044,MAIN,NYSE,Main Street Capital Corp,,은행,551010
GB0032164732,JRS,NYSE,Nuveen Real Estate Income Closed Fund,,다양한 금융서비스,555010
CA0679011084,GOLD,NYSE,Barrick Gold Corp,,메탈&마이닝,512010
CA0679011084,ABR,NYSE,Arbor Realty Trust Inc,,주택 및 상업용 리츠,601020
CA0679011084,ABR,HOSE,Viet Brand Invest JSC,,전문 및 상업 서비스,522030
US5502411037,LUMN,S&P500,Lumen Technologies,Communication Services,Alternative Carriers,
US5502411037,LUMN,NYSE,Lumen Technologies Inc,,통신 서비스,574010
US5502411037,CYTH,NASDAQ,Cyclo Therapeutics Inc,,제약,562010
US5502411037,CYT,NASDAQ,Cyteir Therapeutics Inc,,생명과학 및 메디컬 리서치,562020
US8641591081,RGR,NYSE,Sturm Ruger & Company Inc,,레저 상품,532050
IL0010851827,MNDO,NASDAQ,Mind CTI Ltd,,소프트웨어 및 IT서비스,572010
US53222K2050,LFVN,NASDAQ,LifeVantage Corp,,제약,562010
US3551841022,FKWL,NASDAQ,Franklin Wireless Corp,,커뮤니케이션 및 네트워킹,571020
US90328M1071,USNA,NYSE,USANA Health Sciences Inc,,식품 및 담배,541020
JP3891600003,7003,TSE,Mitsui E&S Holdings Co Ltd,,"건설장비 및 대형차, 기차, 배",521020
JP3322810007,7022,TSE,Sanoyas Holdings Corp,,"건설장비 및 대형차, 기차, 배",521020
US04965B1008,ATOM,NASDAQ,Atomera Inc,,반도체 및 반도체 장비,571010
US8190471016,SHAK,NYSE,Shake Shack Inc Class A,,호텔 및 엔터테인먼트,533010
US9004502061,HEAR,NASDAQ,Turtle Beach Corp,,"컴퓨터, 전화 및 가전제품",571060
US1567271093,CRNC,NASDAQ,Cerence Inc,,소프트웨어 및 IT서비스,572010
US92556H2067,PARA,S&P500,Paramount Global,Communication Services,Movies & Entertainment,
US92556H2067,PARA,NASDAQ,Paramount Global Class B,,미디어 및 출판,533020
US0063513081,AE,AMEX,Adams Resources & Energy Inc,,오일 및 가스,501020
US8425871071,SO,S&P500,Southern Company,Utilities,Electric Utilities,
US8425871071,SO,NYSE,Southern Co,,전기 유틸리티,591010
US8425871071,SON,NYSE,Sonoco Products Co,,용기 및 포장,513020
US77543R1023,ROKU,NASDAQ,Roku Inc Class A,,미디어 및 출판,533020
US76655K1034,RGTI,NASDAQ,Rigetti Computing Inc,,반도체 및 반도체 장비,571010
CA5592224011,MGA,NYSE,Magna International Inc,,자동차 및 자동차 부품,531010
CA5592224011,MG,NYSE,Mistras Group Inc,,오일 및 가스,501020
DE0005140008,DB,NYSE,Deutsche Bank AG,,은행,551010
US09075V1026,BNTX,NASDAQ,BioNTech SE ADR,,생명과학 및 메디컬 리서치,562020
US75886F1075,REGN,S&P500,Regeneron,Health Care,Biotechnology,
US75886F1075,REGN,NASDAQ,Regeneron Pharmaceuticals Inc,,생명과학 및 메디컬 리서치,562020
US6907321029,OMI,NYSE,Owens & Minor Inc,,헬스케어 장비 및 용품,561010
US2533931026,DKS,NYSE,DICK'S Sporting Goods Inc,,전문품 상점,534030
US8317541063,SWBI,NASDAQ,Smith & Wesson Brands Inc,,레저 상품,532050
US19249M1027,COHN,AMEX,Cohen & Company Inc,,기타 금융업,556010
VN000000HPG4,HPG,HOSE,Hoa Phat Group JSC,,메탈&마이닝,512010
US53224K3023,LTBR,NASDAQ,Lightbridge Corp,,전문 및 상업 서비스,522030
VN000000VIC9,VIC,HOSE,Vingroup JSC,,부동산 운영 관리,601010
US04010L1035,ARCC,NASDAQ,Ares Capital Corp,,다양한 금융서비스,555010
US04367G1031,ASXC,AMEX,Asensus Surgical Inc,,헬스케어 장비 및 용품,561010
US35671D8570,FCX,S&P500,Freeport-McMoRan,Materials,Copper,
US35671D8570,FCX,NYSE,Freeport-McMoRan Inc,,메탈&마이닝,512010
CNE000000M72,600745,SSE,Wingtech Technology Co Ltd Class A,,"컴퓨터, 전화 및 가전제품",571060
CA5362211040,LEV,NYSE,Lion Electric Co,,자동차 및 자동차 부품,531010
KYG8601L1106,SVFAU,NASDAQ,SVF Investment Units,,기타 금융업,556010
US00211V1061,AACG,NASDAQ,ATA Creativity Global ADR,,교육서비스,631010
US91823B1098,UWMC,NYSE,UWM Holdings Corp Class A,,은행,551010
US88023U1016,TPX,NYSE,Tempur Sealy International Inc,,가정용품,532040
US70451A1043,PAYS,NASDAQ,Paysign Inc,,전문 및 상업 서비스,522030
US74623V1035,PCT,NASDAQ,Purecycle Technologies Inc,,전문 및 상업 서비스,522030
US40434L1052,HPQ,S&P500,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",
US40434L1052,HPQ,NYSE,HP Inc,,"컴퓨터, 전화 및 가전제품",571060
US35909D1090,FYBR,NASDAQ,Frontier Communications Parent Inc,,통신 서비스,574010
US8175651046,SCI,NYSE,Service Corporation International,,"개인, 가정 용품 및 서비스",542010
US8175651046,SVC,NASDAQ,Service Properties Trust,,주택 및 상업용 리츠,601020
US8175651046,SVC,HOSE,Saigon General Service Corp,,전문품 상점,534030
NL0011585146,RACE,NYSE,Ferrari NV,,자동차 및 자동차 부품,531010
NL00150001Q9,STLA,NYSE,Stellantis NV,,자동차 및 자동차 부품,531010
US2128731039,CONX,NASDAQ,CONX Corp Class A,,기타 금융업,556010
CNE100002TP9,603605,SSE,Proya Cosmetics Co Ltd Class A,,"개인, 가정 용품 및 서비스",542010
US01675A1097,BIRD,NASDAQ,Allbirds Inc Class A,,섬유 및 의류,532020
US0926671043,BLDE,NASDAQ,Blade Air Mobility Inc Class A,,소프트웨어 및 IT서비스,572010
